X,Y,Z,sigmaX,sigmaY,sigmaZ,offset
TARGET67,12.2279,5.3250,0.0313,0.0003,0.0003,0.0004,0.0000
TARGET68,16.1272,6.2660,0.0328,0.0003,0.0003,0.0004,0.0000
TARGET69,7.3513,9.7132,0.0232,0.0004,0.0003,0.0004,0.0000
TARGET70,12.1459,14.7181,0.0293,0.0004,0.0003,0.0004,0.0000
TARGET71,19.2886,-37.2422,-2.7964,0.0004,0.0003,0.0004,0.0000
TARGET72,25.7695,-35.6171,-2.7496,0.0004,0.0003,0.0005,0.0000
TARGET73,-3.2238,-21.3291,-0.0951,0.0003,0.0003,0.0004,0.0000
TARGET74,-5.5082,-17.1179,-0.0807,0.0003,0.0003,0.0004,0.0000
TARGET75,-1.5813,-13.0768,-0.0436,0.0003,0.0003,0.0004,0.0000
TARGET76,-7.1952,-13.2339,-0.0706,0.0003,0.0003,0.0004,0.0000
TARGET77,19.3387,-5.8687,0.0073,0.0004,0.0003,0.0004,0.0000
TARGET78,0.8440,-7.0156,-0.0120,0.0003,0.0003,0.0004,0.0000
TARGET79,2.1319,-3.2566,0.0014,0.0003,0.0003,0.0004,0.0000
TARGET80,-2.3237,-2.8557,-0.0131,0.0003,0.0003,0.0004,0.0000
TARGET81,7.6992,-1.6980,0.0164,0.0003,0.0003,0.0004,0.0000
TARGET82,-5.4532,-1.0604,-0.0230,0.0003,0.0003,0.0004,0.0000
TARGET83,0.0000,-0.0000,0.0000,0.0003,0.0003,0.0004,0.0000
TARGET84,4.3399,1.1234,0.0139,0.0003,0.0003,0.0004,0.0000
TARGET85,-2.9953,2.2458,-0.0090,0.0003,0.0003,0.0004,0.0000
TARGET86,-7.3186,3.7751,-0.0278,0.0003,0.0003,0.0004,0.0000
TARGET87,7.4969,6.3901,0.0247,0.0004,0.0003,0.0004,0.0000
TARGET88,1.1088,6.5845,0.0090,0.0003,0.0003,0.0004,0.0000
TARGET89,-5.9836,6.8739,-0.0209,0.0003,0.0003,0.0004,0.0000
TARGET90,4.4748,8.4475,0.0178,0.0003,0.0003,0.0004,0.0000
TARGET91,-9.6675,7.9876,-0.0410,0.0003,0.0003,0.0004,0.0000
TARGET92,-5.2926,10.5938,-0.0188,0.0003,0.0003,0.0004,0.0000
TARGET93,-9.3382,11.5365,-0.0411,0.0003,0.0003,0.0004,0.0000
TARGET94,4.1823,13.5597,0.0145,0.0003,0.0003,0.0004,0.0000
TARGET95,-0.0209,15.0708,0.0000,0.0003,0.0003,0.0004,0.0000
TARGET96,40.8271,-4.8352,-1.6752,0.0004,0.0003,0.0004,0.0000
TARGET97,39.5040,6.5950,-1.2793,0.0004,0.0003,0.0004,0.0000
TARGET98,38.5707,11.1819,-1.0938,0.0004,0.0003,0.0004,0.0000
TARGET99,28.1441,4.6004,0.0149,0.0004,0.0003,0.0004,0.0000
TARGET100,18.4418,10.4239,0.0321,0.0004,0.0003,0.0004,0.0000
TARGET101,24.3160,12.5336,0.0268,0.0004,0.0003,0.0004,0.0000
TARGET102,16.2751,-49.5233,-3.2148,0.0004,0.0003,0.0005,0.0000
TARGET103,-6.0740,14.2394,-0.0263,0.0003,0.0003,0.0004,0.0000
TARGET104,45.7927,-6.1622,-1.5735,0.0004,0.0003,0.0004,0.0000
TARGET105,36.2458,-3.3798,-1.6743,0.0004,0.0003,0.0004,0.0000
TARGET106,38.7238,0.8065,-1.5189,0.0004,0.0003,0.0004,0.0000
TARGET107,36.3508,4.4484,-1.3943,0.0004,0.0003,0.0004,0.0000
TARGET108,44.3732,5.1370,-1.1722,0.0004,0.0003,0.0004,0.0000
TARGET109,49.6745,5.5979,-1.0312,0.0004,0.0003,0.0004,0.0000
TARGET110,43.3984,9.6188,-1.0178,0.0004,0.0003,0.0004,0.0000
TARGET111,49.1622,15.8765,-0.6599,0.0004,0.0004,0.0005,0.0000
TARGET112,-8.7657,-42.9519,-3.3246,0.0004,0.0003,0.0005,0.0000
TARGET113,2.0169,-42.1904,-3.1280,0.0004,0.0003,0.0005,0.0000
TARGET114,-13.9545,-36.1584,-2.9887,0.0004,0.0003,0.0005,0.0000
TARGET115,50.1673,-7.6507,-1.5499,0.0004,0.0003,0.0004,0.0000
TARGET116,12.3058,11.6795,0.0303,0.0004,0.0003,0.0004,0.0000
TARGET117,47.4505,10.7249,-0.8861,0.0004,0.0004,0.0005,0.0000
TARGET118,-7.5103,-38.4978,-3.1971,0.0004,0.0003,0.0005,0.0000
TARGET119,-95.6647,14.8542,-1.8545,0.0004,0.0004,0.0004,0.0000
TARGET120,-79.2776,15.6965,-1.4923,0.0004,0.0004,0.0004,0.0000
TARGET121,-91.4834,11.1175,-1.8841,0.0004,0.0003,0.0004,0.0000
TARGET122,-71.5404,15.8674,-1.4217,0.0004,0.0003,0.0004,0.0000
TARGET123,-95.5086,6.8086,-2.1735,0.0004,0.0003,0.0004,0.0000
TARGET124,-87.1767,7.0284,-1.9487,0.0003,0.0003,0.0004,0.0000
TARGET125,-90.7745,5.5637,-2.0887,0.0003,0.0003,0.0004,0.0000
TARGET126,-44.4982,15.9021,-1.2595,0.0003,0.0003,0.0004,0.0000
TARGET127,-49.4520,14.0584,-1.4597,0.0003,0.0003,0.0004,0.0000
TARGET128,-96.0696,1.9151,-2.3916,0.0003,0.0003,0.0004,0.0000
TARGET129,-92.6501,1.8469,-2.2843,0.0004,0.0003,0.0004,0.0000
TARGET130,-83.5725,4.1085,-2.0021,0.0004,0.0003,0.0004,0.0000
TARGET131,-74.3696,5.9709,-1.8243,0.0003,0.0003,0.0004,0.0000
TARGET132,-61.6508,8.5525,-1.7776,0.0003,0.0003,0.0004,0.0000
TARGET133,-85.5430,1.5988,-2.1374,0.0003,0.0003,0.0004,0.0000
TARGET134,-75.3632,1.5974,-2.0196,0.0003,0.0003,0.0004,0.0000
TARGET135,-45.8882,7.1815,-1.6251,0.0004,0.0003,0.0004,0.0000
TARGET136,-55.6769,2.9221,-2.0805,0.0003,0.0003,0.0004,0.0000
TARGET137,-91.1534,-8.0013,-2.6294,0.0003,0.0003,0.0004,0.0000
TARGET138,-87.1485,-7.9955,-2.5473,0.0003,0.0003,0.0004,0.0000
TARGET139,-44.1628,0.6668,-1.8385,0.0003,0.0003,0.0004,0.0000
TARGET140,-72.8521,-6.2382,-2.0537,0.0003,0.0003,0.0004,0.0000
TARGET141,-62.7576,-7.6109,-1.9342,0.0003,0.0003,0.0004,0.0000
TARGET142,-89.6995,-13.8934,-2.8257,0.0003,0.0003,0.0004,0.0000
TARGET143,-67.9156,-10.2656,-2.1767,0.0003,0.0003,0.0004,0.0000
TARGET144,-50.6210,-7.7090,-1.7794,0.0004,0.0003,0.0004,0.0000
TARGET145,-63.6906,-10.4604,-2.1178,0.0003,0.0003,0.0004,0.0000
TARGET146,-53.5105,-8.9882,-1.8806,0.0003,0.0003,0.0004,0.0000
TARGET147,-60.6681,-10.4020,-2.0641,0.0003,0.0003,0.0004,0.0000
TARGET148,-49.5057,-8.3867,-1.8159,0.0004,0.0003,0.0004,0.0000
TARGET149,-73.8596,-13.2622,-2.4136,0.0004,0.0003,0.0004,0.0000
TARGET150,-44.6682,-8.5026,-1.8109,0.0004,0.0003,0.0004,0.0000
TARGET151,-63.0790,-12.0438,-2.1964,0.0003,0.0003,0.0004,0.0000
TARGET152,-75.9498,-14.4004,-2.4909,0.0003,0.0003,0.0004,0.0000
TARGET153,-57.4160,-11.8544,-2.0994,0.0003,0.0003,0.0004,0.0000
TARGET154,-48.8312,-10.9723,-1.9679,0.0004,0.0003,0.0004,0.0000
TARGET155,-66.0125,-14.3699,-2.3614,0.0003,0.0003,0.0004,0.0000
TARGET156,-97.3035,-19.8599,-3.2297,0.0004,0.0003,0.0004,0.0000
TARGET157,-91.4228,-18.9982,-3.0403,0.0003,0.0003,0.0004,0.0000
TARGET158,-70.4944,-15.9808,-2.4928,0.0003,0.0003,0.0004,0.0000
TARGET159,-59.8944,-15.2420,-2.3261,0.0003,0.0003,0.0004,0.0000
TARGET160,-68.0646,-16.9375,-2.5114,0.0003,0.0003,0.0004,0.0000
TARGET161,-53.4928,-15.4273,-2.2573,0.0004,0.0003,0.0004,0.0000
TARGET162,-65.0540,-17.3589,-2.5016,0.0003,0.0003,0.0004,0.0000
TARGET163,-43.9626,-14.0259,-2.1157,0.0004,0.0003,0.0004,0.0000
TARGET164,-48.3467,-15.2343,-2.2029,0.0004,0.0003,0.0004,0.0000
TARGET165,-63.0800,-18.2830,-2.5283,0.0004,0.0003,0.0004,0.0000
TARGET166,-77.8685,-20.8915,-2.7558,0.0004,0.0003,0.0004,0.0000
TARGET167,-68.9416,-19.8266,-2.6519,0.0004,0.0003,0.0004,0.0000
TARGET168,-52.5377,-17.4300,-2.3586,0.0004,0.0003,0.0004,0.0000
TARGET169,-58.2717,-18.3771,-2.4772,0.0004,0.0003,0.0004,0.0000
TARGET170,-60.1227,-19.3998,-2.5545,0.0003,0.0003,0.0004,0.0000
TARGET171,-49.1755,-18.3491,-2.3765,0.0004,0.0003,0.0004,0.0000
TARGET172,-67.7013,-21.4739,-2.7205,0.0004,0.0003,0.0004,0.0000
TARGET173,-46.2912,-18.4598,-2.3547,0.0004,0.0003,0.0004,0.0000
TARGET174,-74.0007,-22.8249,-2.7957,0.0004,0.0003,0.0004,0.0000
TARGET175,-60.0901,-21.0532,-2.6408,0.0003,0.0002,0.0004,0.0000
TARGET176,-72.8218,-23.3901,-2.8129,0.0003,0.0003,0.0004,0.0000
TARGET177,-49.2788,-20.3644,-2.4839,0.0004,0.0003,0.0004,0.0000
TARGET178,-66.5644,-23.0131,-2.7844,0.0004,0.0003,0.0004,0.0000
TARGET179,-44.9342,-20.3837,-2.4354,0.0004,0.0003,0.0004,0.0000
TARGET180,-76.1409,-25.1631,-2.8882,0.0004,0.0003,0.0004,0.0000
TARGET181,-51.3407,-21.9640,-2.5916,0.0004,0.0002,0.0004,0.0000
TARGET182,-57.3149,-23.9671,-2.7658,0.0003,0.0002,0.0004,0.0000
TARGET186,-94.8633,10.1970,-2.0077,0.0004,0.0003,0.0004,0.0000
TARGET187,-76.0195,13.3892,-1.5379,0.0003,0.0003,0.0004,0.0000
TARGET188,-74.1716,10.1938,-1.6475,0.0003,0.0003,0.0004,0.0000
TARGET189,-80.9026,6.3403,-1.8714,0.0003,0.0003,0.0004,0.0000
TARGET190,-89.8968,-3.0631,-2.4127,0.0003,0.0003,0.0004,0.0000
TARGET191,-94.9099,-8.9415,-2.7608,0.0003,0.0003,0.0004,0.0000
TARGET192,-74.3216,-6.6486,-2.1043,0.0004,0.0003,0.0004,0.0000
TARGET193,-95.9962,-15.3288,-3.0350,0.0004,0.0003,0.0004,0.0000
TARGET194,-70.6184,13.4811,-1.5060,0.0003,0.0003,0.0004,0.0000
TARGET195,-84.4586,11.2229,-1.7297,0.0003,0.0003,0.0004,0.0000
TARGET196,-63.8695,11.9275,-1.6038,0.0003,0.0003,0.0004,0.0000
TARGET197,-50.7043,8.5267,-1.7031,0.0003,0.0003,0.0004,0.0000
TARGET198,-39.8670,5.5723,-1.5644,0.0003,0.0003,0.0003,0.0000
TARGET199,-79.7343,0.7778,-2.0930,0.0004,0.0003,0.0004,0.0000
TARGET200,-67.2071,1.6047,-2.0004,0.0003,0.0003,0.0004,0.0000
TARGET201,-96.1351,-3.0117,-2.5766,0.0003,0.0003,0.0004,0.0000
TARGET202,-85.6817,-3.4642,-2.3447,0.0003,0.0003,0.0004,0.0000
TARGET203,-85.8556,-13.3185,-2.7252,0.0004,0.0003,0.0004,0.0000
TARGET204,-55.6435,-14.5496,-2.2307,0.0004,0.0003,0.0004,0.0000
TARGET205,-87.7519,-18.6461,-2.9553,0.0004,0.0003,0.0004,0.0000
TARGET206,-84.7374,-20.2090,-2.9499,0.0004,0.0003,0.0005,0.0000
TARGET207,-75.4391,-20.5958,-2.7243,0.0004,0.0003,0.0004,0.0000
TARGET208,-65.0239,-24.3266,-2.8387,0.0004,0.0003,0.0004,0.0000
TARGET210,-26.7112,-35.6647,-2.9261,0.0004,0.0003,0.0005,0.0000
TARGET211,36.9402,15.6222,-0.9235,0.0004,0.0004,0.0005,0.0000
TARGET212,-87.7509,15.0060,-1.6624,0.0004,0.0004,0.0004,0.0000
TARGET213,-44.1984,11.4659,-1.4143,0.0004,0.0003,0.0004,0.0000
TARGET214,-75.8070,-7.3779,-2.1744,0.0004,0.0003,0.0004,0.0000
TARGET215,-79.2759,10.3627,-1.6875,0.0004,0.0003,0.0004,0.0000
TARGET216,-55.9539,11.8610,-1.7037,0.0004,0.0003,0.0004,0.0000
TARGET217,-39.7683,9.8181,-1.3967,0.0003,0.0003,0.0004,0.0000
TARGET218,-59.7246,2.5752,-2.0661,0.0004,0.0003,0.0004,0.0000
TARGET219,-51.4997,-13.7415,-2.1435,0.0004,0.0003,0.0004,0.0000
TARGET220,-61.0043,15.7977,-1.4803,0.0004,0.0004,0.0004,0.0000
TARGET221,-39.5167,16.7153,-1.1466,0.0003,0.0003,0.0004,0.0000
TARGET222,-22.4490,15.0771,-0.1418,0.0004,0.0003,0.0004,0.0000
